Date,Name,Close,High,Low,Open,Volume
12/23/2020,iShares $ TIPS ETF USD Acc GBP,179.995,,,,,
12/24/2020,iShares $ TIPS ETF USD Acc GBP,179.19,,,,,
12/25/2020,iShares $ TIPS ETF USD Acc GBP,179.19,,,,,
12/26/2020,iShares $ TIPS ETF USD Acc GBP,179.19,,,,,
12/27/2020,iShares $ TIPS ETF USD Acc GBP,179.19,,,,,
12/28/2020,iShares $ TIPS ETF USD Acc GBP,179.19,,,,,
12/29/2020,iShares $ TIPS ETF USD Acc GBP,180.54,,,,,
12/30/2020,iShares $ TIPS ETF USD Acc GBP,179.07,,,,,
12/31/2020,iShares $ TIPS ETF USD Acc GBP,178.505,,,,,
01/01/2021,iShares $ TIPS ETF USD Acc GBP,178.505,,,,,
01/02/2021,iShares $ TIPS ETF USD Acc GBP,178.505,,,,,
01/03/2021,iShares $ TIPS ETF USD Acc GBP,178.505,,,,,
01/04/2021,iShares $ TIPS ETF USD Acc GBP,179.84,,,,,
01/05/2021,iShares $ TIPS ETF USD Acc GBP,179.645,,,,,
01/06/2021,iShares $ TIPS ETF USD Acc GBP,179.41,,,,,
01/07/2021,iShares $ TIPS ETF USD Acc GBP,179.66,,,,,
01/08/2021,iShares $ TIPS ETF USD Acc GBP,179.14,,,,,
01/09/2021,iShares $ TIPS ETF USD Acc GBP,179.14,,,,,
01/10/2021,iShares $ TIPS ETF USD Acc GBP,179.14,,,,,
01/11/2021,iShares $ TIPS ETF USD Acc GBP,179.16,,,,,
01/12/2021,iShares $ TIPS ETF USD Acc GBP,177.655,,,,,
01/13/2021,iShares $ TIPS ETF USD Acc GBP,178.11,,,,,
01/14/2021,iShares $ TIPS ETF USD Acc GBP,177.72,,,,,
01/15/2021,iShares $ TIPS ETF USD Acc GBP,178.99,,,,,
01/16/2021,iShares $ TIPS ETF USD Acc GBP,178.99,,,,,
01/17/2021,iShares $ TIPS ETF USD Acc GBP,178.99,,,,,
01/18/2021,iShares $ TIPS ETF USD Acc GBP,179.53,,,,,
